NAME                                        READY   STATUS             RESTARTS          AGE     IP            NODE                 NOMINATED NODE   READINESS GATES
hitl-ui-6855f469c6-5mn6g                    0/1     Running            0                 33h     10.244.0.57   kind-control-plane   <none>           <none>
hitl-ui-8475fbcc86-q9qmn                    0/1     ErrImagePull       0                 33h     10.244.0.55   kind-control-plane   <none>           <none>
jsz                                         0/1     Error              0                 6d3h    <none>        kind-control-plane   <none>           <none>
memory-rag-59cb45b6fb-r2ftb                 0/1     CrashLoopBackOff   358 (111s ago)    33h     10.244.0.58   kind-control-plane   <none>           <none>
nats-5dd9767556-57wv9                       1/1     Running            0                 2d5h    10.244.0.50   kind-control-plane   <none>           <none>
nats-backlog                                0/1     Completed          0                 4d17h   <none>        kind-control-plane   <none>           <none>
nats-ci-25846                               0/1     Completed          0                 5d22h   <none>        kind-control-plane   <none>           <none>
nats-prometheus-exporter-549bcbfbbb-t8dxp   1/1     Running            11 (2d8h ago)     4d18h   10.244.0.21   kind-control-plane   <none>           <none>
nats-worker-59696865b4-pqjsw                2/2     Running            0                 2d8h    10.244.0.49   kind-control-plane   <none>           <none>
orchestrator-75d9b8b9b7-sc6v8               1/1     Running            2 (3d9h ago)      5d7h    10.244.0.16   kind-control-plane   <none>           <none>
otel-collector-58bd468b8b-kgbg9             1/1     Running            3 (3d9h ago)      7d22h   10.244.0.7    kind-control-plane   <none>           <none>
pgvector-0                                  0/1     ImagePullBackOff   0                 33h     10.244.0.56   kind-control-plane   <none>           <none>
temporal-worker-58cf77c66f-5prbs            0/1     CrashLoopBackOff   430 (2m49s ago)   9d      10.244.0.28   kind-control-plane   <none>           <none>
temporalite-ff65f8bdb-bjhvx                 1/1     Running            5 (3d9h ago)      10d     10.244.0.3    kind-control-plane   <none>           <none>
tool-executor-5559b6bfcf-pkc95              1/1     Running            179 (121m ago)    6d12h   10.244.0.17   kind-control-plane   <none>           <none>
